# cryptogram-content curation: Author|Quote
# one quote per line, max 100 chars, fictional characters as 'Character (Source)'
Hugh Miller|Problems are only opportunities with thorns on them.
Igor (Young Frankenstein)|There wolf; there castle.
Indira Gandhi|You can't shake hands with a clenched fist.
Iris Murdoch|We can only learn to love by loving.
Iroh (Avatar the Last Airbender)|Sometimes the best way to help yourself is to help someone else.
Iroh (Avatar the Last Airbender)|This tea is nothing more than hot leaf juice!
J. R. R. Tolkien (The Hobbit)|Loyalty, Honor, A willing heart, i can ask no more than that.
Jack Buck|Things turn out best for those who make the best of the way things turn out.
Jack Dixon|If you focus on results, you will never change. If you focus on change, you will get results.
James Lowell|A weed is no more than a flower in disguise.
Janine (The Handmaids Tale)|Cows don't get married.
Janis Joplin|Don't compromise yourself. You are all you've got.
Japanese proverb|The day you decide to do it is your lucky day.
Jared (Silicon Valley)|People don't wanna follow an idea, they wanna follow a leader.
Jason Fried|No is easier to do. Yes is easier to say.
Jean de la Fontaine|Sadness flies away on the wings of time.
Jen (The IT Crowd)|The Elders of the Internet know who I am?!
Jerry Smith (Rick and Morty)|Life is effort and I'll stop when I die!
Jim Rohn|Either you run the day or the day runs you.
Jim Rohn|The more you care, the stronger you can be.
Joan Clarke (The Imitation Game)|I know it's not ordinary. But who ever loved ordinary?
Johann Wolfgang von Goethe|Great talent finds happiness in execution.
Johann Wolfgang von Goethe|In the end we retain from our studies only that which we practically apply.
Johann Wolfgang von Goethe|Knowing is not enough; we must apply!
Johann Wolfgang von Goethe|Mountains cannot be surmounted except by winding paths.
John Acosta|You cannot have what you do not want.
John Coffey (The Green Mile)|People hurt the ones they love. That's how it is all around the world.
John Dewey|Arriving at one point is the starting point to another.
John Dewey|Every great advance in science has issued from a new audacity of the imagination.
John Dewey|Without some goals and some efforts to reach it, no man can live.
John Dryden|A thing well said will be wit in all languages.
John Dryden|Fortune befriends the bold.
John Eliot|All the great performers I have worked with are fuelled by a personal dream.
John Lennon|Life is what happens to you while you're busy making other plans.
John Lennon|Love is the flower you've got to let grow.
John Lennon|Reality leaves a lot to the imagination.
John Lennon|Time you enjoy wasting, was not wasted.
John Lennon|Time you enjoyed wasting was not wasted.
John Lubbock|A day of worry is more exhausting than a day of work.
John Lubbock|What we see depends mainly on what we look for.
John Wooden|Never mistake activity for achievement.
John Wooden|You can't let praise or criticism get to you. It's a weakness to get caught up in either one.
Jonas Salk|Intuition will tell the thinking mind where to look next.
Jonathan Kozol|Pick battles big enough to matter, small enough to win.
Jordan (The Wolf of Wall Street)|You gonna have to excuse my friend.
Jordan Roberts , Robert L. Baird, Dan Gerson (Big Hero 6)|On a scale of one to ten, how would your rank your pain?
Joseph Joubert|He who has imagination without learning has wings but no feet.
Joseph Stalin|I believe in one thing only, the power of human will.
Joss Carter (Person Of Interest)|I looked for an 'I'm-sorry-I-got-you-shot' card, but they were all out.
June (The Handmaids Tale)|I don't need oranges. I need to scream. I need to grab the nearest machine gun.
Kahlil Gibran|Beauty is not in the face; beauty is a light in the heart.
Kahlil Gibran|We choose our joys and sorrows long before we experience them.
Kaneki Ken (Tokyo Ghoul)|Never trust anyone too much, remember the devil was once an angel.
Kenneth Patton|We learn what we have said from those who listen to our speaking.
Kin Hubbard|You won't skid if you stay in a rut.
Kip Bunthart (Parks and Recreation)|Can we have ONE conversation about feminism where MEN get to be in charge?
Korean proverb|If you kick a stone in anger, you'll hurt your own foot.
Korg (Thor: Ragnarok)|Another day another Doug.
Lao Tzu|Be the chief but never the lord.
Lao Tzu|From wonder into wonder existence opens.
Lao Tzu|He who is contented is rich.
Lao Tzu|He who knows himself is enlightened.
Lao Tzu|He who talks more is sooner exhausted.
Lao Tzu|To see things in the seed, that is genius.
Larry Elder|A goal without a plan is just a wish.
Lauren Bacall|Imagination is the highest kite one can fly.
Lauren Raffo|Sometimes the biggest act of courage is a small one.
Lee Mildon|People seldom notice old clothes if you wear a big smile.
Lena Horne|Always be smarter than the people who hire you.
Leo Aikman|Blessed is the person who is too busy to worry in the daytime, and too sleepy to worry at night.
Leo Buscaglia|Never idealize others. They will never live up to your expectations.
Leo Tolstoy|Everyone thinks of changing the world, but no one thinks of changing himself.
Leo Tolstoy|We lost because we told ourselves we lost.
Leonardo da Vinci|All our knowledge has its origins in our perceptions.
Leonardo da Vinci|Nothing strengthens authority so much as silence.
Leonardo da Vinci|Time stays long enough for anyone who will use it.
Leonardo da Vinci|Who sows virtue reaps honour.
Lin-yutang|I have done my best: that is about all the philosophy of living one needs.
Lord Herbert|The shortest answer is doing.
Louis Pasteur|Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity.
Louise Hay|The thoughts we choose to think are the tools we use to paint the canvas of our lives.
Mac (Always Sunny in Philadelphia)|Fight Milk! The first alcoholic dairy based protein drink for bodyguards!
Mac (Always Sunny in Philadelphia)|I'm not fat. I'm cultivating mass.
Madame de Stael|Society develops wit, but its contemplation alone forms genius.
Madara Uchiha (Naruto)|When a man learns to love, he has to bear the risk of hatred.
Mahatma Gandhi|It is the quality of our work which will please God, not the quantity.
Mahatma Gandhi|Our greatness lies not so much in being able to remake the world as being able to remake ourselves.
Mahatma Gandhi|Strength does not come from physical capacity. It comes from an indomitable will.
Mahatma Gandhi|We must become the change we want to see.
Manuel Puig|I allow my intuition to lead my path.
Marcus Aurelius|Each day provides its own gifts.
Marcus Aurelius|If it is not right do not do it; if it is not true do not say it.
Marcus Aurelius|Loss is nothing else but change,and change is Natures delight.
Marcus Aurelius|There is nothing happens to any person but what was in his power to go through with.
Marcus Aurelius|Waste no more time arguing about what a good man should be. Be one.
Marcus Aurelius|You have power over your mind - not outside events. Realize this, and you will find strength.
Margaret Fuller|If you have knowledge, let others light their candles in it.
Margaret Sangster|Self-complacency is fatal to progress.
Marie Curie|I never see what has been done; I only see what remains to be done.
Marie Curie|Nothing in life is to be feared. It is only to be understood.
Mario Puzo (The Godfather)|Great men are not born great, they grow great.
Mark Twain|Kindness is the language which the deaf can hear and the blind can see.
Mark Twain|When in doubt, tell the truth.
Mark Twain|Whoever is happy will make others happy, too.
Mark Twain|Wrinkles should merely indicate where smiles have been.
Mary Bethune|Without faith, nothing is possible. With it, nothing is impossible.
Mary Morrissey|You block your dream when you allow your fear to grow bigger than your faith.
Mary Parrish|Love vanquishes time. To lovers, a moment can be eternity, eternity can be the tick of a clock.
Mary Wollstonecraft|The beginning is always today.
Master Oogway (Kung fu Panda)|One often meets his destiny on the road he takes to avoid it.
May Sarton|A garden is always a series of losses set against a few triumphs, like life itself.
Maya Angelou|All great achievements require time.
Maya Angelou|I believe that every person is born with talent.
Maya Angelou|Nothing will work unless you do.
Maya Angelou|When you learn, teach. When you get, give.
Maya Lin|To fly, we have to have resistance.
Melvin Udall (As Good as It Gets)|People who talk in metaphors oughta shampoo my crotch.
Merovingian (The Matrix Revolutions)|It is remarkable how similar the pattern of love is to the pattern of insanity.
Michael Corleone (The Godfather Part II)|Keep your friends close, but your enemies closer.
Michael Korda|To succeed, we must first believe that we can.
Michael Scott (The Office)|I am running away from my responsibilities. And it feels good.
Mike Ditka|You're never a loser until you quit trying.
Mohandas Gandhi|Be the change that you want to see in the world.
Mohandas Gandhi|Forgiveness is choosing to love. It is the first skill of self-giving love.
Mohandas Gandhi|Freedom is not worth having if it does not connote freedom to err.
Moliere|It is not only for what we do that we are held responsible, but also for what we do not do.
Morpheus (Matrix)|Do you think that's air you're breathing now?
Morpheus (Matrix)|Stop trying to hit me and hit me.
Morris West|If you spend your whole life waiting for the storm, you'll never enjoy the sunshine.
Morty Smith (Rick and Morty)|Nobody exists on purpose. Nobody belongs anywhere. Everybody's gonna die. Come watch TV.
Moss (The IT Crowd)|Did you see that ludicrous display last night?
Mother Teresa|Be faithful in small things because it is in them that your strength lies.
Mother Teresa|Kind words can be short and easy to speak, but their echoes are truly endless.
Mother Teresa|Let us always meet each other with smile, for the smile is the beginning of love.
Mother Teresa|Peace begins with a smile.
Muriel Rukeyser|The universe is made of stories, not atoms.
Murray Gell-Mann|Think how hard physics would be if particles could think.
Naomi Williams|It is impossible to feel grateful and depressed in the same moment.
Napoleon Bonaparte|He who fears being conquered is sure of defeat.
Napoleon Bonaparte|Imagination rules the world.
Napoleon Bonaparte|Take time to deliberate, but when the time for action has arrived, stop thinking and go in.
Napoleon Bonaparte|The best cure for the body is a quiet mind.
Napoleon Bonaparte|Victory belongs to the most persevering.
Napoleon Hill|A goal is a dream with a deadline.
Napoleon Hill|Fears are nothing more than a state of mind.
Napoleon Hill|If you cannot do great things, do small things in a great way.
Napoleon Hill|No alibi will save you from accepting the responsibility.
Napoleon Hill|You can do it if you believe you can!
Napoleon Hill|You give before you get.
Naruto Uzumaki (Naruto)|If you have no reason to be alive, it is the same as being dead.
Nelson Mandela|As we are liberated from our own fear, our presence automatically liberates others.
Norman Peale|If you want things to be different, perhaps the answer is to become different yourself.
old lady (Maid)|It took me five tries.
Oliver Lacon (Tinker Tailor Soldier Spy)|It's the oldest question of all, George. Who can spy on the spies?
Oprah Winfrey|I don't believe in failure. It is not failure if you enjoyed the process.
Oprah Winfrey|If you want your life to be more rewarding, you have to change the way you think.
Oprah Winfrey|The biggest adventure you can ever take is to live the life of your dreams.
Oprah Winfrey|With every experience, you alone are painting your own canvas, thought by thought, choice by choice.
Orison Marden|All men who have achieved great things have been great dreamers.
Oscar Wilde|Be yourself; everyone else is already taken.
Oscar Wilde|The only thing to do with good advice is to pass it on. It is never of any use to oneself.
Oscar Wilde|The smallest act of kindness is worth more than the grandest intention.
Ovid|All things change; nothing perishes.
Ovid|Let your hook always be cast; in the pool where you least expect it, there will be a fish.
Ovid|Take rest; a field that has rested gives a bountiful crop.
Paavo Nurmi|Mind is everything: muscle, pieces of rubber. All that I am, I am because of my mind.
Pablo Picasso|Everything you can imagine is real.
Pablo Picasso|I am always doing that which I can not do, in order that I may learn how to do it.
Pablo Picasso|I am always doing that which I cannot do, in order that I may learn how to do it.
Paul Edgecomb (The Green Mile)|We each owe a death - there are no exceptions - but, oh God, sometimes the Green Mile seems so long.
Pearl Buck|Growth itself contains the germ of happiness.
Pearl Buck|One faces the future with ones past.
Pericles|Time is the wisest counsellor of all.
Peter Drucker|Efficiency is doing things right; effectiveness is doing the right things.
Peter Griffin (Family Guy)|I May Be An Idiot, But There's One Thing I'm Not Sir, And That Is An Idiot.
Peter Parker/Spiderman (Avengers: Infinity War)|Mr. Stark, I don't feel so good.
Philip Banks (Uncle Phill) (The Fresh Prince of Bel-Air)|The most dangerous man in the world is the one who doesn't know what he doesn't know.
Philip Breedveld|Moments of complete apathy are the best for new creations.
Philip Sidney|Either I will find a way, or I will make one.
Pierre Auguste Renoir|The pain passes, but the beauty remains.
Plato|Good actions give strength to ourselves and inspire good actions in others.
President Merkin Muffley (Dr. Strangelove)|Gentlemen, you can't fight in here! This is the war room!
Princess Diana|Only do what your heart tells you.
Princess Rhaenys Velaryon (House Of The Dragon)|Men would sooner put the realm to the torch than see a woman ascend the Iron Throne.
Publilius Syrus|A rolling stone gathers no moss.
Publilius Syrus|Never promise more than you can perform.
Publilius Syrus|While we stop to think, we often miss our opportunity.
